"__AddRemoveIndicator","Parent_canonicalName","Parent_distinguishedName","Parent_objectClass","ObjectTypeName","InheritedObjectTypeName","ActiveDirectoryRights","InheritanceType","ObjectType","InheritedObjectType","ObjectFlags","AccessControlType","IdentityReference","IsInherited","InheritanceFlags","PropagationFlags"
"-1","contoso.com","DC=contoso,DC=com","domainDNS","All","All","ReadProperty","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","Everyone","False","None","None"
"-1","contoso.com","DC=contoso,DC=com","domainDNS","All","All","GenericRead","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","False","None","None"
"-1","contoso.com","DC=contoso,DC=com","domainDNS","All","All","GenericRead","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\Authenticated Users","False","None","None"
"-1","contoso.com","DC=contoso,DC=com","domainDNS","All","All","GenericAll","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\SYSTEM","False","None","None"
"-1","contoso.com","DC=contoso,DC=com","domainDNS","All","All","CreateChild, Self, WriteProperty, ExtendedRight, Delete, GenericRead, WriteDacl, WriteOwner","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","BUILTIN\Administrators","False","ContainerInherit","None"
"-1","contoso.com","DC=contoso,DC=com","domainDNS","All","All","ReadProperty, ReadControl","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","False","None","None"
"-1","contoso.com","DC=contoso,DC=com","domainDNS","All","All","ListChildren","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","False","ContainerInherit","None"
"-1","contoso.com","DC=contoso,DC=com","domainDNS","All","All","CreateChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","CONTOSO\Domain Admins","False","None","None"
"-1","contoso.com","DC=contoso,DC=com","domainDNS","All","All","GenericAll","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","CONTOSO\Enterprise Admins","False","ContainerInherit","None"
"-1","contoso.com","DC=contoso,DC=com","domainDNS","DS-Validated-Write-Computer","Computer","Self","Descendents","9b026da6-0d3c-465c-8bee-5199d7165cba","bf967a86-0de6-11d0-a285-00aa003049e2","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","CREATOR OWNER","False","ContainerInherit","InheritOnly"
